record_id,unit_key,dataset_id,reporting_year,operating_time,gross_load,steam_load,heat_input,co2_mass,so2_mass,nox_mass,so2_control,nox_control,pm_control,program_code
89,18,1,2025,NULL,8775.19,NULL,131935,7865.5,0.156,7.947,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
90,18,1,2026,NULL,12049.7,NULL,187381,11156.6,0.15,11.238,Other,"Water Injection",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
91,19,1,2022,NULL,2937710,NULL,28253200,2898780,1122.53,750.741,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction",Baghouse,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
92,19,1,2023,NULL,2899440,NULL,27954000,2868070,770.845,716.758,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
93,19,1,2024,NULL,3133800,NULL,30248900,3103540,895.597,1009.86,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
94,19,1,2025,NULL,2757460,NULL,26882700,2758170,954.316,901.706,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
95,19,1,2026,NULL,1467470,NULL,14302600,1467450,686.773,423.55,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA|Selective Catalytic Reduction",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
96,20,1,2022,NULL,2413460,NULL,22745100,2333650,4157.11,2241.18,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA",Baghouse,"ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
97,20,1,2023,NULL,2824410,NULL,26827600,2752510,3369.66,3039.67,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
98,20,1,2024,NULL,2764920,NULL,26384000,2707000,3390.05,4146.47,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
99,20,1,2025,NULL,3216590,NULL,29945700,3072430,5660.49,3667.83,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
100,20,1,2026,NULL,1228060,NULL,11214000,1150560,2051.94,1413.59,"Wet Limestone","Low NOx Burner Technology w/ Closed-coupled/Separated OFA",Baghouse,"ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
101,21,1,2022,NULL,3120210,NULL,29362100,3012550,4461.18,2397.43,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
102,21,1,2023,NULL,2583570,NULL,24436800,2507220,2756.68,2199.29,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
103,21,1,2024,NULL,3132720,NULL,29757900,3053160,3288.15,890.728,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
104,21,1,2025,NULL,2920080,NULL,27062300,2776590,4271.69,2630.72,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
105,21,1,2026,NULL,1594180,NULL,14717600,1510030,2266.88,1301,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
106,22,1,2022,NULL,2581820,NULL,25019400,2567000,934.226,741.212,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
107,22,1,2023,NULL,2450090,NULL,23924400,2454650,850.295,700.995,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
108,22,1,2024,NULL,2548590,NULL,24719100,2536180,1583.36,940.609,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
109,22,1,2025,NULL,2936780,NULL,28092800,2882320,1554.98,827.066,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
110,22,1,2026,NULL,1509660,NULL,14291900,1466350,884.766,382.791,"Wet Limestone","Low NOx Burner Technology w/ Overfire Air|Selective Catalytic Reduction","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
111,23,1,2022,NULL,2180680,NULL,14983100,890422,4.495,190.762,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
112,23,1,2023,NULL,2510380,NULL,17014100,1011120,5.104,230.189,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
113,23,1,2024,NULL,2345850,NULL,14837900,881806,4.452,235.799,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
114,23,1,2025,NULL,2683270,NULL,17382900,1033050,5.215,255.86,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
115,23,1,2026,NULL,1179550,NULL,7795250,463261,2.339,113.599,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
116,24,1,2022,NULL,2315040,NULL,15743100,935592,4.723,202.989,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG3, CSSO2G1"
117,24,1,2023,NULL,2439190,NULL,16451600,977692,4.936,216.399,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
118,24,1,2024,NULL,2241360,NULL,14088300,837247,4.227,203.211,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
119,24,1,2025,NULL,2665440,NULL,17202400,1022320,5.161,229.539,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
120,24,1,2026,NULL,1143120,NULL,7513300,446509,2.254,98.558,NULL,"Dry Low NOx Burners",NULL,"ARP, CSNOX, CSOSG2E, CSSO2G1"
121,25,1,2022,NULL,1401740,NULL,12666000,1298490,578.104,1693.12,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
122,25,1,2023,NULL,1167280,NULL,10327700,1058940,509.43,1494.34,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
123,25,1,2024,NULL,969808,NULL,8699730,891542,647.302,1345.73,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
124,26,1,2022,NULL,1802380,NULL,16381300,1679550,736.545,2151.34,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG3, CSSO2G1, MATS"
125,26,1,2023,NULL,1842800,NULL,16356900,1677710,720.034,2277.96,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
126,26,1,2024,NULL,1849160,NULL,16808100,1722310,1107.22,2523.9,"Wet Limestone","Low NOx Burner Technology w/ Separated OFA","Baghouse|Electrostatic Precipitator","ARP, CSNOX, CSOSG2E, CSSO2G1, MATS"
